Sample_Id	Participant_Id	Habitat [ENVO_01000739]	Host body habitat [UBERON_0000466]	Host body product [UBERON_0000463]	Host body site [UBERON_0000061]	Region of 16S rRNA sequenced [SO_0001000]	Sample type [OBI_0100051]
SRS6114432	SRS6114432 (Source)	Human	Spinal cord	Cerebrospinal fluid	Spinal cord	V1-V2	Cerebrospinal fluid
SRS6114433	SRS6114433 (Source)	Human	spinal cord	UBERON:cerebrospinal fluid	spinal cord	V1-V2	cerebrospinal fluid
SRS6114434	SRS6114434 (Source)	Human	spinal cord	UBERON:cerebrospinal fluid	spinal cord	V1-V2	cerebrospinal fluid
SRS6114435	SRS6114435 (Source)	Human	spinal cord	UBERON:cerebrospinal fluid	spinal cord	V1-V2	cerebrospinal fluid
SRS6114436	SRS6114436 (Source)	Human	spinal cord	UBERON:cerebrospinal fluid	spinal cord	V1-V2	cerebrospinal fluid
SRS6114437	SRS6114437 (Source)	Human	spinal cord	UBERON:cerebrospinal fluid	spinal cord	V1-V2	cerebrospinal fluid
SRS6114438	SRS6114438 (Source)	Human	spinal cord	UBERON:cerebrospinal fluid	spinal cord	V1-V2	cerebrospinal fluid
SRS6114439	SRS6114439 (Source)	Human	spinal cord	UBERON:cerebrospinal fluid	spinal cord	V1-V2	cerebrospinal fluid
SRS6114440	SRS6114440 (Source)	Human	spinal cord	UBERON:cerebrospinal fluid	spinal cord	V1-V2	cerebrospinal fluid
SRS6114441	SRS6114441 (Source)	Human	spinal cord	UBERON:cerebrospinal fluid	spinal cord	V1-V2	cerebrospinal fluid
SRS6114442	SRS6114442 (Source)	Human	spinal cord	UBERON:cerebrospinal fluid	spinal cord	V1-V2	cerebrospinal fluid
SRS6114443	SRS6114443 (Source)	Human	spinal cord	UBERON:cerebrospinal fluid	spinal cord	V1-V2	cerebrospinal fluid
SRS6114444	SRS6114444 (Source)	Human	spinal cord	UBERON:cerebrospinal fluid	spinal cord	V1-V2	cerebrospinal fluid
SRS6114445	SRS6114445 (Source)	Human	spinal cord	UBERON:cerebrospinal fluid	spinal cord	V1-V2	cerebrospinal fluid
SRS6114446	SRS6114446 (Source)	Human	spinal cord	UBERON:cerebrospinal fluid	spinal cord	V1-V2	cerebrospinal fluid
SRS6114447	SRS6114447 (Source)	Human	spinal cord	UBERON:cerebrospinal fluid	spinal cord	V1-V2	cerebrospinal fluid
